time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	susceptible (0-9) median	susceptible (0-9) lower bound	susceptible (0-9) upper bound	susceptible (10-19) median	susceptible (10-19) lower bound	susceptible (10-19) upper bound	susceptible (20-29) median	susceptible (20-29) lower bound	susceptible (20-29) upper bound	susceptible (30-39) median	susceptible (30-39) lower bound	susceptible (30-39) upper bound	susceptible (40-49) median	susceptible (40-49) lower bound	susceptible (40-49) upper bound	susceptible (50-59) median	susceptible (50-59) lower bound	susceptible (50-59) upper bound	susceptible (60-69) median	susceptible (60-69) lower bound	susceptible (60-69) upper bound	susceptible (70-79) median	susceptible (70-79) lower bound	susceptible (70-79) upper bound	susceptible (80+) median	susceptible (80+) lower bound	susceptible (80+) upper bound	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	severe (0-9) median	severe (0-9) lower bound	severe (0-9) upper bound	severe (10-19) median	severe (10-19) lower bound	severe (10-19) upper bound	severe (20-29) median	severe (20-29) lower bound	severe (20-29) upper bound	severe (30-39) median	severe (30-39) lower bound	severe (30-39) upper bound	severe (40-49) median	severe (40-49) lower bound	severe (40-49) upper bound	severe (50-59) median	severe (50-59) lower bound	severe (50-59) upper bound	severe (60-69) median	severe (60-69) lower bound	severe (60-69) upper bound	severe (70-79) median	severe (70-79) lower bound	severe (70-79) upper bound	severe (80+) median	severe (80+) lower bound	severe (80+) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	ICU (0-9) median	ICU (0-9) lower bound	ICU (0-9) upper bound	ICU (10-19) median	ICU (10-19) lower bound	ICU (10-19) upper bound	ICU (20-29) median	ICU (20-29) lower bound	ICU (20-29) upper bound	ICU (30-39) median	ICU (30-39) lower bound	ICU (30-39) upper bound	ICU (40-49) median	ICU (40-49) lower bound	ICU (40-49) upper bound	ICU (50-59) median	ICU (50-59) lower bound	ICU (50-59) upper bound	ICU (60-69) median	ICU (60-69) lower bound	ICU (60-69) upper bound	ICU (70-79) median	ICU (70-79) lower bound	ICU (70-79) upper bound	ICU (80+) median	ICU (80+) lower bound	ICU (80+) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	exposed (0-9) median	exposed (0-9) lower bound	exposed (0-9) upper bound	exposed (10-19) median	exposed (10-19) lower bound	exposed (10-19) upper bound	exposed (20-29) median	exposed (20-29) lower bound	exposed (20-29) upper bound	exposed (30-39) median	exposed (30-39) lower bound	exposed (30-39) upper bound	exposed (40-49) median	exposed (40-49) lower bound	exposed (40-49) upper bound	exposed (50-59) median	exposed (50-59) lower bound	exposed (50-59) upper bound	exposed (60-69) median	exposed (60-69) lower bound	exposed (60-69) upper bound	exposed (70-79) median	exposed (70-79) lower bound	exposed (70-79) upper bound	exposed (80+) median	exposed (80+) lower bound	exposed (80+) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	infectious (0-9) median	infectious (0-9) lower bound	infectious (0-9) upper bound	infectious (10-19) median	infectious (10-19) lower bound	infectious (10-19) upper bound	infectious (20-29) median	infectious (20-29) lower bound	infectious (20-29) upper bound	infectious (30-39) median	infectious (30-39) lower bound	infectious (30-39) upper bound	infectious (40-49) median	infectious (40-49) lower bound	infectious (40-49) upper bound	infectious (50-59) median	infectious (50-59) lower bound	infectious (50-59) upper bound	infectious (60-69) median	infectious (60-69) lower bound	infectious (60-69) upper bound	infectious (70-79) median	infectious (70-79) lower bound	infectious (70-79) upper bound	infectious (80+) median	infectious (80+) lower bound	infectious (80+) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	overflow (0-9) median	overflow (0-9) lower bound	overflow (0-9) upper bound	overflow (10-19) median	overflow (10-19) lower bound	overflow (10-19) upper bound	overflow (20-29) median	overflow (20-29) lower bound	overflow (20-29) upper bound	overflow (30-39) median	overflow (30-39) lower bound	overflow (30-39) upper bound	overflow (40-49) median	overflow (40-49) lower bound	overflow (40-49) upper bound	overflow (50-59) median	overflow (50-59) lower bound	overflow (50-59) upper bound	overflow (60-69) median	overflow (60-69) lower bound	overflow (60-69) upper bound	overflow (70-79) median	overflow (70-79) lower bound	overflow (70-79) upper bound	overflow (80+) median	overflow (80+) lower bound	overflow (80+) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative recovered (0-9) median	cumulative recovered (0-9) lower bound	cumulative recovered (0-9) upper bound	cumulative recovered (10-19) median	cumulative recovered (10-19) lower bound	cumulative recovered (10-19) upper bound	cumulative recovered (20-29) median	cumulative recovered (20-29) lower bound	cumulative recovered (20-29) upper bound	cumulative recovered (30-39) median	cumulative recovered (30-39) lower bound	cumulative recovered (30-39) upper bound	cumulative recovered (40-49) median	cumulative recovered (40-49) lower bound	cumulative recovered (40-49) upper bound	cumulative recovered (50-59) median	cumulative recovered (50-59) lower bound	cumulative recovered (50-59) upper bound	cumulative recovered (60-69) median	cumulative recovered (60-69) lower bound	cumulative recovered (60-69) upper bound	cumulative recovered (70-79) median	cumulative recovered (70-79) lower bound	cumulative recovered (70-79) upper bound	cumulative recovered (80+) median	cumulative recovered (80+) lower bound	cumulative recovered (80+) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative ICU (0-9) median	cumulative ICU (0-9) lower bound	cumulative ICU (0-9) upper bound	cumulative ICU (10-19) median	cumulative ICU (10-19) lower bound	cumulative ICU (10-19) upper bound	cumulative ICU (20-29) median	cumulative ICU (20-29) lower bound	cumulative ICU (20-29) upper bound	cumulative ICU (30-39) median	cumulative ICU (30-39) lower bound	cumulative ICU (30-39) upper bound	cumulative ICU (40-49) median	cumulative ICU (40-49) lower bound	cumulative ICU (40-49) upper bound	cumulative ICU (50-59) median	cumulative ICU (50-59) lower bound	cumulative ICU (50-59) upper bound	cumulative ICU (60-69) median	cumulative ICU (60-69) lower bound	cumulative ICU (60-69) upper bound	cumulative ICU (70-79) median	cumulative ICU (70-79) lower bound	cumulative ICU (70-79) upper bound	cumulative ICU (80+) median	cumulative ICU (80+) lower bound	cumulative ICU (80+) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative hospitalized (0-9) median	cumulative hospitalized (0-9) lower bound	cumulative hospitalized (0-9) upper bound	cumulative hospitalized (10-19) median	cumulative hospitalized (10-19) lower bound	cumulative hospitalized (10-19) upper bound	cumulative hospitalized (20-29) median	cumulative hospitalized (20-29) lower bound	cumulative hospitalized (20-29) upper bound	cumulative hospitalized (30-39) median	cumulative hospitalized (30-39) lower bound	cumulative hospitalized (30-39) upper bound	cumulative hospitalized (40-49) median	cumulative hospitalized (40-49) lower bound	cumulative hospitalized (40-49) upper bound	cumulative hospitalized (50-59) median	cumulative hospitalized (50-59) lower bound	cumulative hospitalized (50-59) upper bound	cumulative hospitalized (60-69) median	cumulative hospitalized (60-69) lower bound	cumulative hospitalized (60-69) upper bound	cumulative hospitalized (70-79) median	cumulative hospitalized (70-79) lower bound	cumulative hospitalized (70-79) upper bound	cumulative hospitalized (80+) median	cumulative hospitalized (80+) lower bound	cumulative hospitalized (80+) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound	cumulative fatality (0-9) median	cumulative fatality (0-9) lower bound	cumulative fatality (0-9) upper bound	cumulative fatality (10-19) median	cumulative fatality (10-19) lower bound	cumulative fatality (10-19) upper bound	cumulative fatality (20-29) median	cumulative fatality (20-29) lower bound	cumulative fatality (20-29) upper bound	cumulative fatality (30-39) median	cumulative fatality (30-39) lower bound	cumulative fatality (30-39) upper bound	cumulative fatality (40-49) median	cumulative fatality (40-49) lower bound	cumulative fatality (40-49) upper bound	cumulative fatality (50-59) median	cumulative fatality (50-59) lower bound	cumulative fatality (50-59) upper bound	cumulative fatality (60-69) median	cumulative fatality (60-69) lower bound	cumulative fatality (60-69) upper bound	cumulative fatality (70-79) median	cumulative fatality (70-79) lower bound	cumulative fatality (70-79) upper bound	cumulative fatality (80+) median	cumulative fatality (80+) lower bound	cumulative fatality (80+) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-03-09	4176656	4176656	4176656	749047	749047	749047	703390	703390	703390	656579	656579	656579	598828	598828	598828	538612	538612	538612	418923	418923	418923	273598	273598	273598	152765	152765	152765	84914	84914	84914	4176656	4176656	4176656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	153	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	153	153	0	0	0	0	0	0	0	0	0	153	153	153	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	65	65	0	0	0	0	0	0	0	0	0	65	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-10	4176622	4176621	4176623	749041	749041	749041	703384	703384	703384	656574	656573	656574	598823	598823	598823	538608	538607	538608	418920	418919	418920	273596	273596	273596	152764	152764	152764	84913	84913	84913	4176622	4176621	4176623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	112	114	6	6	6	5	5	6	5	5	5	5	4	5	4	4	4	84	84	84	2	2	2	1	1	1	1	1	1	113	112	114	125	125	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	123	123	0	0	0	0	0	0	0	0	0	125	125	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	13	0	0	0	0	0	0	0	0	0	14	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-11	4176571	4176568	4176574	749032	749031	749032	703376	703375	703376	656566	656565	656566	598816	598815	598816	538601	538601	538601	418914	418914	418915	273592	273592	273593	152762	152762	152762	84912	84912	84912	4176571	4176568	4176574	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	101	106	12	12	13	12	11	12	11	11	11	10	10	10	9	9	9	41	41	41	5	4	5	3	2	3	1	1	1	104	101	106	165	164	165	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	152	152	152	1	1	1	1	1	1	0	0	0	165	164	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	33	33	0	0	0	0	0	0	0	0	0	34	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-12	4176509	4176504	4176514	749021	749020	749022	703365	703364	703366	656556	656555	656557	598807	598806	598808	538593	538592	538594	418908	418908	418909	273588	273588	273589	152760	152759	152760	84911	84911	84911	4176509	4176504	4176514	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	109	116	18	17	19	17	16	18	16	15	16	14	14	15	13	13	13	23	22	23	7	6	7	4	4	4	2	2	2	113	109	116	192	191	193	8	7	8	7	7	7	7	6	7	6	6	6	5	5	6	154	154	154	3	3	3	2	1	2	1	1	1	192	191	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	59	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55	55	55	0	0	0	0	0	0	0	0	0	59	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-13	4176437	4176429	4176445	749008	749006	749009	703353	703352	703355	656545	656543	656546	598797	598796	598798	538584	538583	538585	418901	418900	418902	273584	273583	273584	152757	152757	152757	84910	84909	84910	4176437	4176429	4176445	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	124	133	22	21	23	21	20	22	20	19	20	18	17	19	16	15	17	17	16	17	8	8	8	5	4	5	3	2	3	129	124	133	219	216	221	14	14	15	14	13	14	13	12	13	12	11	12	10	10	11	146	146	146	5	5	5	3	3	3	2	2	2	219	216	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	88	88	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	76	76	76	1	1	1	0	0	0	0	0	0	88	88	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-14	4176356	4176344	4176368	748993	748991	748995	703340	703338	703342	656532	656530	656534	598785	598783	598787	538573	538572	538575	418893	418892	418894	273578	273578	273579	152754	152754	152754	84908	84908	84908	4176356	4176344	4176368	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	141	153	26	25	27	25	23	26	23	22	24	21	20	22	19	18	20	16	15	17	10	9	10	5	5	6	3	3	3	147	141	153	248	244	253	23	22	23	21	20	22	20	19	21	18	17	19	16	16	17	135	134	135	8	8	9	5	4	5	3	2	3	248	244	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	120	122	5	5	5	5	5	5	4	4	5	4	4	4	4	3	4	96	96	96	2	2	2	1	1	1	0	0	0	121	120	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-15	4176263	4176246	4176280	748977	748974	748980	703324	703321	703327	656517	656515	656520	598772	598769	598774	538561	538559	538563	418884	418882	418885	273572	273571	273573	152751	152750	152751	84906	84906	84906	4176263	4176246	4176280	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	160	176	30	29	32	28	27	30	26	25	28	24	23	25	22	21	23	17	16	18	11	10	12	6	6	6	3	3	4	168	160	176	282	276	289	32	30	33	30	28	31	28	27	29	25	24	26	23	22	24	124	124	125	12	11	12	6	6	7	4	3	4	282	276	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	157	160	9	9	9	8	8	9	8	8	8	7	7	7	6	6	7	114	114	114	3	3	3	2	2	2	1	1	1	158	157	160	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-16	4176157	4176134	4176180	748958	748953	748962	703306	703302	703310	656501	656497	656504	598756	598753	598760	538548	538545	538551	418873	418871	418875	273565	273564	273567	152747	152746	152748	84904	84903	84904	4176157	4176134	4176180	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	192	182	203	34	33	36	32	31	34	30	29	32	28	26	29	25	23	26	19	18	20	13	12	13	7	7	7	4	4	4	192	182	203	322	312	331	41	39	43	39	37	40	36	35	38	33	31	34	30	28	31	116	115	117	15	14	16	8	8	9	5	4	5	322	312	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	198	204	14	14	15	13	13	14	12	12	13	11	11	12	10	10	10	131	131	132	5	5	5	3	2	3	1	1	1	201	198	204	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-17	4176037	4176005	4176067	748936	748930	748941	703286	703280	703291	656482	656477	656486	598739	598735	598744	538532	538528	538536	418861	418858	418864	273557	273555	273559	152742	152741	152743	84901	84901	84902	4176037	4176005	4176067	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	219	206	232	39	37	42	37	35	39	34	32	37	31	30	33	28	27	30	22	21	23	14	13	15	8	8	8	4	4	5	219	206	232	367	354	380	51	49	54	48	46	50	45	43	47	41	39	43	37	35	39	109	108	110	19	18	20	10	10	11	6	6	6	367	354	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	245	254	21	20	22	19	19	20	18	17	19	17	16	17	15	14	15	147	147	148	7	7	7	4	4	4	2	2	2	250	245	254	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	1	1	1	1	1	1	1	1	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-18	4175901	4175860	4175941	748912	748904	748919	703263	703256	703270	656460	656454	656467	598720	598714	598725	538515	538509	538520	418847	418843	418851	273549	273546	273551	152737	152736	152739	84899	84898	84899	4175901	4175860	4175941	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	247	231	264	44	41	47	42	39	44	39	36	41	35	33	38	32	30	34	25	23	26	16	15	17	9	8	10	5	5	5	247	231	264	418	401	435	62	59	66	59	56	62	55	52	57	50	47	52	45	43	47	105	103	106	23	22	24	13	12	13	7	7	7	418	401	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	298	312	29	28	30	27	26	28	25	24	26	23	22	24	21	20	21	162	162	163	10	10	10	5	5	5	3	3	3	305	298	312	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	1	1	1	1	1	1	1	1	1	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-19	4175773	4175723	4175822	748889	748880	748897	703241	703233	703250	656440	656432	656448	598701	598694	598708	538498	538492	538504	418834	418829	418839	273540	273537	273543	152733	152731	152735	84896	84895	84897	4175773	4175723	4175822	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	255	237	274	46	43	49	43	40	46	40	37	43	37	34	39	33	31	35	26	24	27	17	16	18	9	9	10	5	5	6	255	237	274	474	453	497	74	70	78	70	66	74	65	62	69	59	56	63	53	51	56	102	100	104	27	26	29	15	14	16	8	8	9	474	453	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	359	377	39	37	40	36	35	38	34	32	35	31	29	32	28	26	29	177	176	178	13	13	14	7	7	7	4	3	4	368	359	377	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	1	1	1	1	1	1	1	1	1	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-20	4175629	4175567	4175690	748863	748852	748874	703217	703207	703227	656418	656408	656427	598681	598672	598689	538480	538472	538487	418820	418814	418826	273531	273527	273535	152727	152725	152730	84893	84892	84894	4175629	4175567	4175690	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	272	252	294	49	45	53	46	42	49	43	40	46	39	36	42	35	33	38	27	25	29	18	17	19	10	9	11	6	5	6	272	252	294	530	503	558	86	81	91	80	76	85	75	71	79	68	65	72	62	58	65	100	98	103	31	29	33	17	16	18	10	9	10	530	503	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	426	452	50	48	52	47	45	49	44	42	46	40	38	42	36	34	37	192	190	193	17	17	18	9	9	10	5	4	5	439	426	452	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	1	1	1	1	1	1	1	1	1	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-21	4175470	4175393	4175543	748834	748820	748847	703190	703177	703203	656393	656380	656404	598658	598647	598668	538459	538449	538469	418804	418796	418811	273520	273515	273525	152722	152719	152724	84890	84888	84891	4175470	4175393	4175543	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	298	274	323	53	49	58	50	46	54	47	43	51	43	39	46	38	35	42	30	27	32	19	18	21	11	10	12	6	6	7	298	274	323	585	552	619	97	91	103	91	85	97	85	80	90	77	73	82	70	65	74	100	96	103	35	33	38	20	19	21	11	10	12	585	552	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	501	535	63	60	66	59	56	62	55	52	58	50	48	53	45	43	47	206	204	207	22	21	23	12	11	12	6	6	6	518	501	535	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	2	2	3	12	11	12	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	5	5	5	2	2	2	2	2	2	2	2	2	12	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
